client_code,product,push_notification
1,Карта для путешествий,"Представьте, что ваши поездки могут стать дешевле на 8 560,55 ₸! Карта для путешествий поможет сэкономить. Попробуйте её! Открыть."
2,Карта для путешествий,"Данияр, с помощью нашей карты для путешествий можно сэкономить 5 838,59 ₸! Задумались о следующем отпуске? Посмотреть."
3,Кредитная карта,"Сабина, представьте, с кредитной картой вы могли бы сэкономить 7 522,68 ₸! Это как маленький подарок себе. Попробуйте! Открыть."
4,Карта для путешествий,"Путешествуя с картой, вы могли бы сэкономить 8 188,34 ₸. Это поездка к новым впечатлениям! Посмотреть, как это работает."
5,Карта для путешествий,"Представьте, как приятно было бы сэкономить 8 546 ₸ на следующем путешествии. Откройте для себя карту для путешествий и отправляйтесь в новые приключения! Открыть."
6,Карта для путешествий,"С экономией 7 833,53 ₸ можно отправиться в интересную поездку. Откройте новую карту для путешествий и готовьтесь к приключениям!"
7,Депозит Накопительный,"Неплохая сумма — 5 815,82 ₸! Это можно было бы вложить в Депозит Накопительный. Обеспечьте себе стабильность. Настроить."
8,Премиальная карта,"Если бы у вас было 8 485,78 ₸, можно было бы потратить их на что-то приятное. Премиальная карта поможет вам в этом! Посмотреть."
9,Депозит Накопительный,"Сумма в 6 395,37 ₸ может стать хорошим началом для вашего накопительного депозита. Заходите и посмотрите, как это работает!"
10,Премиальная карта,"Если бы вы использовали премиальную карту, сэкономили бы 6 772,55 ₸. Это приятно, правда? Посмотрите, что она предлагает!"
11,Депозит Накопительный,"Если бы вы вложили средства в накопительный депозит, сэкономили бы 7 117,81 ₸. Это неплохая подушка для будущих планов. Посмотреть."
12,Премиальная карта,"Жанар, представьте, что за год можно сэкономить 5 756,66 ₸. Это не лишние деньги. Премиальная карта может стать вашим верным помощником. Посмотреть."
13,Кредитная карта,"Алина, представь, что 9 439,52 ₸ могут пойти на что-то классное! Попробуй нашу кредитную карту и посмотри, как легко управлять финансами. Открыть."
14,Кредитная карта,"Представьте, что 11 575,05 ₸ могут стать вашими! Как насчёт кредитной карты, которая поможет вам в этом? Посмотреть."
15,Кредитная карта,"Вы могли бы сэкономить 9 689,65 ₸ с помощью кредитной карты. Пора разгрузить ваш кошелёк! Посмотреть."
16,Кредитная карта,"Представьте, что вы сэкономили 9 580,25 ₸ — это почти на выходные в кафе! Попробуйте кредитную карту, чтобы сделать ваши финансы удобнее. Открыть."
17,Кредитная карта,"Представьте, что вы экономите 9 851,60 ₸ — неплохо, правда? Откройте для себя преимущества кредитной карты и воспользуйтесь ими. Открыть."
18,Кредитная карта,"Санжар, представьте, что с кредитной картой вы могли бы сэкономить 9 295,93 ₸. Зачем оставлять деньги на столе? Посмотреть."
19,Обмен валют,"Обмен валют может стать полезным инструментом для ваших финансов. Убедитесь сами, как это работает. Посмотреть?"
20,Обмен валют,"Иногда обмен валюты — это просто удобство, а не способ сэкономить. Если вам нужно, просто загляните в наш раздел. Посмотреть."
21,Обмен валют,"Если бы вы обменяли валюту, то сэкономили бы 3 570,91 ₸. Зачем терять деньги, когда можно их сохранить? Посмотреть."
22,Обмен валют,"Иногда обмен валют — это просто интересный процесс, даже если выгоды не видно. Загляните в наш сервис, чтобы узнать больше! Открыть."
23,Обмен валют,"Планируете обменять валюту? Даже если выгода не видна, стоит заглянуть в наш сервис. Убедитесь сами! Посмотреть."
24,Обмен валют,"Обмен валют может быть проще, чем кажется. Если вам нужно, загляните в раздел и узнайте, что мы можем предложить. Открыть?"
25,Кредит наличными,"Кредит наличными — это просто. Для вас это возможность без лишних затрат. Посмотрите, как это работает!"
26,Карта для путешествий,"Представьте, что 9 712,87 ₸ могли бы помочь в следующем путешествии. Как насчет карты для путешествий? Узнайте больше и вперед! Открыть."
27,Карта для путешествий,"Представьте, что 7 407,10 ₸ уже ждут вас на следующую поездку. Карту для путешествий легко взять с собой! Посмотреть."
28,Карта для путешествий,"Как насчёт сэкономить 7 455,66 ₸ на следующем путешествии? Ваша новая карта для путешествий уже ждёт! Посмотреть"
29,Карта для путешествий,"Сая, можно было бы сэкономить 7 876,27 ₸ на путешествиях! Попробуйте карту, которая сделает ваши поездки легче. Открыть."
30,Карта для путешествий,"Представьте, как 8 388,07 ₸ могут сделать ваше путешествие еще приятнее! Откройте для себя карту для путешествий и наслаждайтесь поездками. Открыть."
31,Кредит наличными,"Если кредит наличными не приносит выгоды в 0,00 ₸, возможно, стоит просто оценить его условия. Загляните, вдруг это вам подойдёт! Открыть."
32,Депозит Накопительный,"Сэкономьте 7 851,57 ₸ — это почти новая техника! Рассмотрите Депозит Накопительный для вашего бюджета. Посмотреть."
33,Депозит Сберегательный,Зачем оставлять деньги без дела? Попробуйте наш сберегательный депозит и дайте своим финансам возможность расти. Открыть.
34,Депозит Сберегательный,"Хотите, чтобы ваши сбережения работали на вас? Депозит Сберегательный — это надёжный способ сохранить и приумножить капитал. Посмотреть."
35,Премиальная карта,"С экономией 7 387,71 ₸ можно сделать что-то полезное. Премиальная карта поможет вам не только сэкономить, но и получить больше привилегий. Открыть."
36,Кредит наличными,Кредит наличными может стать удобным решением для ваших финансовых нужд. Обратите внимание на наше предложение. Открыть.
37,Депозит Сберегательный,Депозит Сберегательный — это стабильность и уверенность в завтрашнем дне. Зачем ждать? Уже сейчас можно открыть счёт. Открыть.
38,Депозит Накопительный,"Серик, представьте, что вы могли бы сэкономить 7 079,46 ₸. Это отличная возможность для вашего будущего. Попробуйте открыть накопительный депозит!"
39,Кредит наличными,"Кредит наличными может быть полезен в нужный момент, даже если сейчас выгода не очевидна. Просто посмотрите, что мы предлагаем!"
40,Кредит наличными,"Кредит наличными может стать вашим удобным решением, даже если выгода не очевидна. Узнайте все детали! Открыть."
41,Депозит Сберегательный,"Иногда стоит просто сохранить свои средства. Ознакомьтесь с депозитом, который поможет вам в этом. Посмотреть?"
42,Депозит Накопительный,"Представьте, что 7 963,75 ₸ могут работать на вас. Накопительный депозит — это возможность приумножить сбережения. Посмотреть?"
43,Кредит наличными,"Нужны наличные? Кредит наличными — это просто и удобно. Даже если сейчас выгоды нет, всё равно стоит заглянуть. Посмотреть!"
44,Кредит наличными,Иногда важно просто иметь возможность получить наличные в нужный момент. Кредит наличными может стать вашим решением. Посмотреть.
45,Кредит наличными,"Кредит наличными — это возможность для вас, Диана, реализовать задуманное. Зачем откладывать мечты? Посмотреть."
46,Кредит наличными,"Кредит наличными — это возможность решить финансовые вопросы без лишних затрат. Загляните, вдруг вам подойдёт! Открыть."
47,Карта для путешествий,"Камшат, вы могли бы сэкономить до 6 009,50 ₸ на следующем путешествии! Интересная карта для поездок уже ждёт вас. Посмотреть."
48,Кредит наличными,"Иногда кредит наличными может быть просто удобным решением, даже если выгода не очевидна. Узнайте, как это может помочь вам. Открыть."
49,Инвестиции,"Если вложить 8 254,22 ₸, можно получить серьёзную прибыль. Задумайтесь об инвестициях — будущее может быть светлее! Посмотреть."
50,Инвестиции,"Инвестиции могут принести вам 6 409,76 ₸. Зачем откладывать на завтра то, что можно начать сегодня? Посмотреть."
51,Инвестиции,"Инвестиции могут оказаться интересным вариантом для вас. Попробуйте разобраться, как они могут работать на будущее. Посмотреть."
52,Инвестиции,"Если бы вы инвестировали, то могли бы сэкономить 6 270,50 ₸. Это не шутка, а реальная возможность! Посмотреть предложения."
53,Инвестиции,"Инвестиции — это не только про экономию, но и про возможность роста. Заходите, чтобы узнать, как начать. Открыть."
54,Инвестиции,"Если бы вы инвестировали, то могли бы сэкономить 14 099,01 ₸. Вложите средства с умом и смотрите, как они растут! Открыть."
55,Золотые слитки,"Вложив 5 684,14 ₸ в золотые слитки, вы могли бы обеспечить себе надёжное финансовое будущее. Посмотрите, как это работает."
56,Золотые слитки,"Сэкономив 7 759,01 ₸, можно было бы прикупить золотые слитки. Это не только красиво, но и выгодно! Посмотреть."
57,Золотые слитки,"Представьте, как 7 102,33 ₸ могут стать основой для вашего будущего. Золотые слитки — надежный шаг к финансовой стабильности. Посмотреть."
58,Золотые слитки,"Золотые слитки — это надёжный способ сохранить капитал. Просто посмотрите, как можно укрепить свои финансовые позиции. Открыть."
59,Золотые слитки,"Представьте, что 6 325,23 ₸ могут стать основой для вашего будущего. Золотые слитки — это надежный способ приумножить ваши сбережения. Посмотреть?"
60,Золотые слитки,"Золотые слитки — это надёжный способ сохранить капитал. Заходите в приложение, чтобы узнать детали. Посмотреть."
